ID	BAT_3	BAT_4	BAT_cold_3	BAT_cold_4	BAT_1	BAT_2	BAT_cold_1	BAT_cold_2	WAT_cold_1	WAT_cold_2	WAT_cold_3	WAT_cold_4	WAT_1	WAT_2	WAT_3	WAT_4
ENSMUSG00000103211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076875	0	1	0	0	0	0	0	0	0	0	1	3	3	3	1	1
ENSMUSG00000027345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057685	0	0	0	0	0	0	0	0	0	4	2	0	4	1	0	0
ENSMUSG00000043230	115	76	53	63	163	74	41	103	14	65	58	25	88	83	114	40
ENSMUSG00000090487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000082870	0	0	0	0	0	1	0	0	1	1	1	1	4	1	2	1
ENSMUSG00000032593	406	328	174	152	402	457	118	167	313	476	369	445	656	449	674	436
ENSMUSG00000106875	0	1	11	1	0	0	0	0	1	5	5	1	1	12	1	9
ENSMUSG00000028451	3	1	1	2	2	1	1	2	2	0	0	3	0	1	2	1
ENSMUSG00000089497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085926	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0
ENSMUSG00000028749	0	0	0	0	0	0	0	0	0	0	0	0	0	809	0	0
ENSMUSG00000088843	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000035403	2	0	4	3	4	0	4	3	0	2	1	3	5	1	3	4
ENSMUSG00000082185	0	0	3	1	0	0	0	3	4	5	2	6	6	1	1	1
ENSMUSG00000104338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025436	255	192	286	250	264	215	238	276	275	218	281	249	279	216	254	252
ENSMUSG00000051615	1270	938	1014	860	1243	1214	697	971	1479	2049	1812	2145	1755	1920	1568	1686
ENSMUSG00000059277	149	155	109	63	172	158	70	97	153	202	181	196	207	246	206	187
ENSMUSG00000036160	990	1159	897	818	1087	1252	581	795	1274	2065	1786	2037	2644	2109	2230	1848
ENSMUSG00000022206	5248	7936	4880	7107	4504	8278	4925	6643	10984	1781	1567	2931	3049	9200	6195	11409
ENSMUSG00000097764	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0
ENSMUSG00000015094	2720	2062	2090	1694	2828	2638	1660	1899	4611	4293	4291	4653	4487	4912	4216	4655
ENSMUSG00000023048	1829	1640	2498	2083	1876	1840	1686	2077	2574	5585	5093	5358	6753	5547	6024	5765
ENSMUSG00000024486	61	98	144	101	68	143	94	89	70	190	109	127	144	219	178	131
ENSMUSG00000102154	16	6	5	10	14	7	15	16	36	48	43	48	94	40	93	38
ENSMUSG00000083626	67	67	76	100	83	59	56	79	38	22	28	32	18	4	8	17
ENSMUSG00000053801	538	781	603	608	746	834	477	517	745	1227	918	1189	1474	1110	1268	1228
ENSMUSG00000028799	814	589	749	628	945	674	563	710	1263	1969	1937	2114	2700	2471	2424	1900
ENSMUSG00000103225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085188	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	5
ENSMUSG00000036992	465	301	348	270	451	406	261	267	535	677	661	720	870	802	664	671
ENSMUSG00000047674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048779	207	141	111	109	199	237	89	162	499	909	1020	1009	738	1008	652	601
ENSMUSG00000027456	231	202	122	122	197	226	94	142	159	224	282	252	297	247	285	207
ENSMUSG00000050232	88	59	18	9	77	37	7	29	194	716	829	714	848	743	740	531
ENSMUSG00000077239	2	4	3	7	4	9	6	0	7	7	8	12	13	5	6	11
ENSMUSG00000096889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028337	152	103	57	26	151	139	23	150	616	7950	6569	4871	7192	5381	4593	3779
ENSMUSG00000026609	2	3	1	0	2	0	0	1	1	0	1	0	0	1	0	0
ENSMUSG00000047514	3309	3455	4035	3771	3546	4238	3101	3801	4248	5042	5115	5443	5618	5385	5426	5077
ENSMUSG00000092931	0	1	0	0	0	0	0	0	1	1	1	2	3	2	2	3
ENSMUSG00000019917	1961	1509	2229	2132	2244	1739	1718	2302	2505	1698	1920	2258	1657	1723	1644	2031
ENSMUSG00000094316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018620	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
ENSMUSG00000082771	24	1	0	1	26	3	4	3	20	7	3	6	5	6	14	6
ENSMUSG00000100393	1	0	0	0	0	0	0	0	1	2	0	2	3	0	3	2
ENSMUSG00000078622	5473	5845	5997	5449	6469	6782	5040	5864	7015	7383	7478	8781	7720	7093	6602	6804
ENSMUSG00000085247	0	0	0	3	0	0	0	0	0	0	1	1	2	0	0	0
ENSMUSG00000082711	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0
ENSMUSG00000054351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027222	2267	2158	6141	5531	2746	2771	5213	5738	9582	5117	6745	7711	3719	3479	3968	3427
